n,id,cert/cot,cert/clr,cert/v,s,t,geo/0,geo/1
CHU/ HU EST PARISIEN SITE TROUSSEAU APHP (APHP),750100109,B,2,4,1,3,2.4053308,48.8426662
CHU/ HU PITIE SALPETRIERE APHP (APHP),750100125,B,2,4,1,3,2.3611636,48.8384015
CHU/ HU PARIS CENTRE SITE COCHIN APHP (APHP),750100166,B,2,4,1,3,2.3388689,48.8373986
CHU/ HU NECKER ENFANTS MALADES APHP (APHP),750100208,B,2,4,1,3,2.3154486,48.8463504
CHU/ HU PARIS OUEST SITE VAUGIRARD APHP (APHP),750100216,B,2,4,1,2,2.294343,48.8343071
CHU/ HU PARIS NORD SITE BICHAT APHP (APHP),750100232,B,2,4,1,3,2.331951,48.8987087
CHU/ HU EST PARISIEN SITE TENON APHP (APHP),750100273,B,2,4,1,3,2.400758,48.865722
CHU/ HU PARIS IDF SITE SAINTE PERINE APHP (APHP),750100299,B,2,4,1,3,2.266831,48.8449825
CLINIQUE FSEF PARIS 13,750140022,A,1,4,3,2,2.375651,48.827434
POLYCLINIQUE RENE ANGELERGUES,750140030,B,2,4,3,,2.344952,48.82733
CENTRE RENE CAPITANT,750140055,B,2,4,3,,2.346709,48.848335
HOPITAL PIERRE ROUQUES LES BLUETS,750150013,B,2,4,3,2,2.40636,48.843129
HOPITAL DES GARDIENS DE LA PAIX,750150088,A,1,4,3,2,2.358026,48.838587
INSTITUT MUTUALISTE MONTSOURIS,750150104,B,2,4,3,3,2.332563,48.821866
HOPITAL LEOPOLD BELLAN,750150146,B,2,4,3,2,2.3109876,48.8292559
MAISON MEDICALE JEANNE GARNIER,750150187,B,2,4,3,2,2.289828,48.846697
HOPITAL DE LA CROIX SAINT SIMON,750150237,B,2,4,3,2,2.408644,48.853242
CLINIQUE FSEF PARIS 16,750150252,A,1,4,3,2,2.265327,48.846607
HOPITAL DES DIACONESSES,750150260,B,2,4,3,2,2.391608,48.844801
HOPITAL JEAN JAURES,750150286,A,1,4,3,2,2.393611,48.887147
HOPITAL PRIVE COGNACQ JAY,750150344,B,2,4,3,2,2.292738,48.83767
HOPITAL HENRY DUNANT,750150377,B,2,4,3,2,2.25831,48.84032
CLCC INSTITUT CURIE,750160012,B,2,4,3,2,2.344746,48.843654
HDJ INSTITUT PAUL SIVADON,750170102,A,1,4,3,2,2.334452,48.878667
HOPITAL DE JOUR CENTRE SERGE LEBOVICI,750170128,A,1,4,3,2,2.353917,48.831252
CENTRE CEVENNES HDJ FOYER POST CURE,750170185,A,1,4,3,,2.278866,48.843367
CENTRE LABRADOR,750170201,A,1,4,3,,2.303213,48.829202
HOPITAL DE JOUR GOMBAULT DARNAUD,750170243,B,2,4,3,2,2.293853,48.880459
HDJ ENTRAIDE UNIVERSITAIRE,750170490,B,2,4,3,2,2.402653,48.841093
ESPACE MOGADOR,750170516,A,1,4,3,,2.331316,48.875689
ESPACE ADOS,750170581,A,1,4,3,,2.325847,48.879399
CENTRE HD DP AURA PARIS PLAISANCE,750200024,B,2,4,3,2,2.3103674999,48.830004
CLINIQUE MEDICO CHIRURGICALE DU LOUVRE,750300014,B,2,4,2,2,2.345373,48.858099
CLINIQUE GEOFFROY SAINT HILAIRE,750300071,B,2,4,2,2,2.354968,48.843517
CLINIQUE DU SPORT,750300089,A,1,4,2,2,2.358093,48.838984
INSTITUT ARTHUR VERNES,750300097,A,1,4,3,2,2.329649,48.84758
CLINIQUE SAINT JEAN DE DIEU,750300121,B,2,4,3,2,2.3178148269,48.849827544
CLINIQUE DE L ALMA,750300139,B,2,4,2,2,2.305725,48.861209
CLINIQUE TURIN,750300154,B,2,4,2,2,2.325297,48.87963
HOPITAL PRIVE DES PEUPLIERS,750300360,A,1,4,2,2,2.352914,48.823627
CLINIQUE JEANNE D ARC,750300410,A,1,4,2,2,2.367614,48.826393
CLINIQUE ARAGO,750300493,A,1,4,2,2,2.3099270999,48.8290624
CLINIQUE SAINTE GENEVIEVE,750300550,A,1,4,2,2,2.329391,48.826226
CLINIQUE BLOMET,750300592,A,1,4,2,2,2.295762,48.839254
MATERNITE SAINTE FELICITE,750300667,A,1,4,3,2,2.288821,48.8388844
CLINIQUE CHIRURGICALE VICTOR HUGO,750300741,B,2,4,2,2,2.2918128,48.8711458
CLINIQUE BIZET,750300766,A,1,4,2,2,2.296897,48.867624
CLINIQUE JOUVENET,750300774,A,1,4,2,2,2.266164,48.842308
CLINIQUE DE LA MUETTE,750300840,A,1,4,2,2,2.277799,48.860319
CLINIQUE REMUSAT,750300857,B,2,4,2,2,2.271194,48.847866
CLINIQUE CHIRURGICALE DU TROCADERO,750300881,B,2,4,2,2,2.28093,48.860373
CLINIQUE INTERNATIONALE PARC MONCEAU,750300915,A,1,4,2,2,2.304267,48.879957
CLINIQUE STE THERESE,750300931,A,1,4,2,2,2.3024887,48.8865187
CLINIQUE CHIRURG ALLERAY LABROUSTE,750301137,B,2,4,2,2,2.3065797,48.8323932
CLINIQUE DU MONT LOUIS,750301145,B,2,4,2,2,2.3859362,48.8572097
CLINIQUE MAUSSINS NOLLET,750301160,B,2,4,2,2,2.404241,48.877155
CLINIQUE VILLA MONTSOURIS,750310013,A,1,4,2,2,2.34172,48.828691
CENTRE POST CURE L ELAN RETROUVE,750510042,A,1,4,3,,2.372818,48.826183
CENTRE POST CURE WATTEAU,750510059,B,2,4,3,,2.356761,48.83507
FOYER RELAIS,750510083,A,1,4,3,,2.325847,48.879399
HDJ MARIE ABADIE,750690083,B,2,4,3,,2.320567,48.835168
HOPITAL LEOPOLD BELLAN SITE AQUEDUC,750700015,B,2,4,3,2,2.36019,48.880542
CLINIQUE ROOSEVELT,750790164,A,1,4,2,1,2.308821,48.866379
CHU/ HU PARIS CENTRE SITE BROCA APHP (APHP),750801441,B,2,4,1,3,2.347798,48.834777
CENTRE POST CURE RENE CAPITANT,750802977,B,2,4,3,,2.346709,48.848335
CHU/ HU PARIS OUEST SITE G POMPIDOU APHP (APHP),750803447,B,2,4,1,3,2.2735695,48.8393498
CHU/ HU ROBERT DEBRE APHP (APHP),750803454,B,2,4,1,3,2.403173,48.878378
CHU/ HOSPITALISATION A DOMICILE APHP PARIS (APHP),750806226,B,2,4,1,3,2.352233,48.837913
SSR INSTITUT NATIONAL DES INVALIDES,750808578,B,2,4,1,,2.3146757,48.854743
HDJ GEORGES VACOLA,750810384,B,2,4,3,,2.375082,48.885347
UNITE DIALYSE BUTTES CHAUMONT-ANDRA,750814824,B,2,4,3,2,2.328423,48.877452
CENTRE DE REDUCATION LA CHATAIGNERAIE,750825184,A,1,4,3,2,2.281623,48.843837
CENTRE D AUTODIALYSE CLINIQUE ALMA,750829053,B,2,4,2,1,2.309233,48.858745
CENTRE DIAVERUM PARIS MONT LOUIS,750831067,A,1,4,2,2,2.386489,48.856868
CH DIEPPE,760000018,B,2,4,1,3,1.078629,49.921874
HL SAINT-VALERY-EN-CAUX,760000026,A,1,4,1,2,0.706406,49.865824
HL GOURNAY-EN-BRAY,760000034,B,2,4,1,2,1.723899,49.478637
CH EU,760000042,B,2,4,1,2,1.421589,50.050664
CH NEUFCHATEL-EN-BRAY,760000059,B,2,4,1,2,1.450826,49.729615
CH HOPITAL PASTEUR VALLERY RADOT,760000133,B,2,4,1,2,0.953638,49.541638
CHU/ HOPITAL SAINT JULIEN CHU ROUEN,760000141,B,2,4,1,3,1.056266,49.423994
CHU/ HOPITAL CHARLES NICOLLE CHU ROUEN,760000158,B,2,4,1,3,1.107298,49.440951
CRLCC HENRI BECQUEREL ROUEN,760000166,B,2,4,3,2,1.106837,49.438915
HL YVETOT,760000174,B,2,4,1,2,0.753131,49.617001
CH DU BELVEDERE MONT-SAINT-AIGNAN,760000182,B,2,4,1,2,1.0807899999,49.458262
CHS DU ROUVRAY SOTTEVILLE-LES-ROUEN,760000190,B,2,4,1,3,1.090596,49.402138
HOPITAL GUSTAVE FLAUBERT CH LE HAVRE,760000356,B,2,4,1,3,0.112942,49.498321
CHI DU PAYS DES HAUTES FALAISES FECAMP,760000364,B,2,4,1,2,0.3864097595,49.744477929
CH LILLEBONNE CHI CAUX VALLEE DE SEINE,760000372,B,2,4,1,2,0.544273,49.519074
HL SAINT-ROMAIN-DE-COLBOSC,760000380,A,1,4,1,2,0.361942,49.526613
HOPITAL LOCAL BOLBEC CHIC CAUX VALLEE,760000398,B,2,4,1,2,0.468433,49.568108
CH LES FEUGRAIS CHI ELBEUF,760000463,B,2,4,1,3,1.008214,49.285775
CENTRE SSR PA CH DARNETAL,760000620,B,2,4,1,2,1.148486,49.445288
CENTRE SSR PA CH SOTTEVILLE/ROUEN,760000802,B,2,4,1,2,1.085481,49.412873
CENTRE DE REEDUCATION DE LA HEVE,760017079,A,1,4,2,2,0.087457,49.520242
HAD DU CEDRE,760020529,A,1,4,2,2,1.111746,49.464476
HOPITAL PRIVE DE L'ESTUAIRE,760021329,B,2,4,2,3,0.103267,49.528576
CHU/ USLD ARCADIE BOUCICAUT CHU ROUEN,760023671,B,2,4,1,2,1.082591,49.471441
CLINIQUE MATHILDE ROUEN,760025312,B,2,4,2,2,1.094907,49.428451
UNITE AUTODIALYSE ASSISTEE - ANIDER,760025619,B,2,4,3,1,1.15022,49.502823
UNITE AUTODIALYSE ASSISTEE ASS ANIDER,760025668,B,2,4,3,1,1.026092,49.311159
UNITE AUTODIALYSE ASSISTEE ASS ANIDER,760025718,B,2,4,3,1,1.424928,50.052633
UNITE AUTODIALYSE ASSISTEE - ANIDER,760025809,B,2,4,3,1,0.385355,49.748315
UNITE AUTODIALYSE ASSISTEE ASS ANIDER,760025858,B,2,4,3,1,0.144548,49.536336
UNITE AUTODIALYSE ASSISTEE ASS ANIDER,760025908,B,2,4,3,2,0.137718,49.498778
UDM & UNITE AUTODIALYSE ASSISTEE,760026088,B,2,4,3,2,1.077133,49.91939
UDM BOIS GUILLAUME - ANIDER,760026138,B,2,4,3,2,1.109916,49.476216
CLINIQUE OCEANE,760026674,A,1,4,2,2,0.107984,49.494297
CLINIQUE MEGIVAL,760027292,B,2,4,2,2,1.077871,49.895408
CLINIQUE GUILLAUME,760029017,A,1,4,2,2,1.1179064,49.4632351
SSR PETIT COLMOULINS,760034637,B,2,4,2,2,0.1980184999,49.513883
UNITE DIALYSE MEDICALISEE LE HAVRE,760035592,B,2,4,3,2,0.1011370999,49.5280804
HAD CAUX MARITIME,760035709,A,1,4,2,2,1.1402861,49.9013442
SSR DU CAUX LITTORAL,760780130,B,2,4,2,2,0.707995,49.826604
CLINIQUE ST ANTOINE BOIS GUILLAUME,760780205,A,1,4,2,2,1.106368,49.457707
HOPITAL PRIVE DE JOUR MGENASS,760780288,B,2,4,3,2,1.089298,49.44849
CLINIQUE DU CEDRE,760780510,A,1,4,2,2,1.111746,49.464476
CLINIQUE SAINT-HILAIRE ROUEN,760780619,A,1,4,2,2,1.113213,49.441874
CLINIQUE HEMERA PAYS DE CAUX,760780668,B,2,4,2,2,0.7538866,49.6179384
RESIDENCE CLINIQUE DU CHATEAU BLANC,760780676,B,2,4,3,2,1.075853,49.40604
CMPR LES HERBIERS BOIS GUILLAUME,760780692,B,2,4,3,2,1.121621,49.461637
CLINIQUE TOUS VENTS LILLEBONNE,760780783,B,2,4,2,2,0.544273,49.519074
CLINIQUE LES ORMEAUX-VAUBAN LE HAVRE,760780791,B,2,4,2,2,0.135243,49.487784
CLINIQUE DE L'ABBAYE FECAMP,760780825,A,1,4,2,2,0.387087,49.745333
CENTRE DE CONVALESCENCE LES JONQUILLES,760780981,B,2,4,2,2,0.251827,49.517649
CENTRE SSR ASS LADAPT HAUTE NORMANDIE,760781054,B,2,4,3,2,1.02384,49.274296
CENTRE PIERRE JANET CH LE HAVRE,760781070,B,2,4,1,2,0.122209,49.500237
HOPITAL-HAD DE BOIS-GUILLAUME,760783035,B,2,4,3,2,1.112934,49.476866
CLINIQUE DES ESSARTS GRAND COURONNE,760783159,B,2,4,2,2,1.02348,49.341758
CHU/ HOPITAL DE BOIS-GUILLAUME CHU ROUEN,760783522,B,2,4,1,3,1.11637,49.465804
CHU/ HOPITAL DE OISSEL CHU ROUEN,760783530,B,2,4,1,2,1.083798,49.350175
CENTRE DE JOUR WINNICOTT CH DIEPPE,760800938,B,2,4,1,2,1.093997,49.931783
MECS ASS AIDE AUX JEUNES DIABETIQUES,760802439,A,1,4,3,1,0.280565,49.58749
HOPITAL JACQUES MONOD CH LE HAVRE,760805770,B,2,4,1,3,0.182258,49.528583
USLD DE L'EHPAD YVON LAMOUR FECAMP,760806950,B,2,4,1,2,0.38707,49.745357
CATTP MGEN,760913137,,,,3,2,1.099438,49.446318
UNITE AUTODIALYSE ASSISTEE ASS ANIDER,760917773,B,2,4,3,2,1.060585,49.418247
CTRE DE CONVALESCENCE DE LA ROSERAIE,760920603,B,2,4,2,2,0.082192,49.5074
CENTRE DE REEDUCATION MERIDIENNE ROUEN,760920918,A,1,4,2,2,1.085607,49.424762
UDM ET DIALYSE A DOMICILE ASS ANIDER,760921718,B,2,4,3,,1.060502,49.41813
CLINIQUE DE L'EUROPE ROUEN,760921809,A,1,4,2,2,1.08644,49.425998
CH DE COULOMMIERS,770000131,D,4,4,1,3,3.095686,48.827249
CH SUD SEINE ET MARNE FONTAINEBLEAU,770000149,B,2,4,1,2,2.697681,48.412375
CH DE MELUN SITE SANTEPOLE,770000156,B,2,4,1,3,2.6395324,48.5561081
CH SUD SEINE ET MARNE SITE MONTEREAU,770000164,B,2,4,1,3,2.95395,48.382703
CH DE PROVINS LEON BINET,770000172,C,3,4,1,2,3.303949,48.556116
CH DE BRIE COMTE ROBERT,770000180,B,2,4,1,2,2.605758,48.693855
CH SUD SEINE ET MARNE SITE DE NEMOURS,770000214,B,2,4,1,2,2.704654,48.262
CTR READAPT FONCT ELLEN POIDATZ,770000420,A,1,4,3,2,2.520503,48.555494
CH DE MEAUX SITE SAINT FARON,770000446,D,4,4,1,3,2.884599,48.967793
UNITE D AUTODIALYSE PONTAULT COMBAULT,770001873,A,1,4,2,1,2.608141,48.778973
CLINIQUE PSYCHIATRIQUE PAYS DE SEINE,770006138,A,1,4,2,2,2.70801,48.481586
CENTRE DIALYSE DIAVERUM MONTEREAU,770016087,A,1,4,2,2,2.9561929999,48.384733999
UNITE AUTODIALYSE AURA SANTEPOLE,770016160,B,2,4,3,1,2.8700639999,48.655096
CLINIQUE DES PAYS DE MEAUX,770016467,B,2,4,2,2,2.874314,48.934918
HAD CENTRE 77 COULOMMIERS,770016475,A,1,4,3,2,3.083552,48.814509
CLINIQUE SOLIS DE MONTEVRAIN,770016491,A,1,4,2,2,2.759619,48.854049
GHEF MARNE LA VALLEE SITE JOSSIGNY,770019032,D,4,4,1,3,2.769518,48.850747
CENTRE NEPHROCARE MARNE LA VALLEE,770020055,A,1,4,2,2,2.7707053,48.8495074
HOP FORCILLES FONDATION COGNACQ JAY,770020477,B,2,4,3,2,2.6154970999,48.723075599
GCS HAD REGION DE MELUN - ACTIVITE,770021186,A,1,4,3,2,2.666777,48.5392193
HAD NORD SEINE ET MARNE,770021251,B,2,4,2,2,2.7911917,48.8381138
CLINIQUE FSEF NEUFMOUTIERS EN BRIE,770150027,A,1,4,3,2,2.820452,48.765342
BTP RESIDENCE MEDICO SOCIALES,770150043,A,1,4,3,2,2.605824,48.78396
HOPITAL PRIVE DE MARNE CHANTEREINE,770300010,A,1,4,2,2,2.62921,48.8833
CLINIQUE MEDICO CHIRURG LES FONTAINES,770300135,B,2,4,2,2,2.6540366,48.5386171
CLINIQUE SAINT JEAN L ERMITAGE,770300143,B,2,4,2,2,2.6389208,48.5566106
CLINIQUE SAINT BRICE,770300192,A,1,4,2,2,3.315407,48.562403
INSTITUT MEDICAL DE SERRIS,770300218,B,2,4,2,2,2.782977,48.857147
CLINIQUE LES TROIS SOLEILS,770300259,A,1,4,2,2,2.572175,48.525982
CLINIQUE DU CHATEAU DE PERREUSE,770310019,A,1,4,2,2,3.129363,48.949028
CLINIQUE PSYCHIATRIQ DE L ANGE GARDIEN,770310027,B,2,4,2,2,3.151112,48.974253
ESSR LE PRIEURE,770420024,A,1,4,3,2,2.7367664999,48.4191826
MAISON HOSPITALIERE CHANTEMERLE,770510055,A,1,4,3,2,2.691976,48.480855
CENTRE DE READAPTATION DE COUBERT,770700011,A,1,4,3,3,2.6954544,48.6726066
CENTRE DE REEDUCATION LE BRASSET,770701225,B,2,4,3,2,2.873228,48.96527
CLINIQUE DE TOURNAN,770790707,B,2,4,2,2,2.758555,48.742838
UNITE DE DIALYSE AURA MEAUX,770803708,B,2,4,3,1,2.8884656999,48.9562018
CTRE READAPTATION CARDIAQUE DE LA BRIE,770803989,A,1,4,2,2,2.794655,48.81695
CENTRE DIALYSE DIAVERUM AVON,770809028,A,1,4,2,,2.7206148,48.4155451
CLINIQUE MEDICO CHIRURGICALE ST FARON,770813400,B,2,4,2,2,2.873651,48.94095
UNITE D AUTODIALYSE PROVINS,770813426,B,2,4,3,2,3.299791,48.545442
UNITE D AUTODIALYSE CHELLES,770813459,A,1,4,2,1,2.595246,48.879183
USLD CENTRE HOSPITALIER DE JOUARRE,770813814,B,2,4,1,2,3.128834,48.927812
UNITE D AUTODIALYSE COULOMMIERS,770814986,A,1,4,2,1,3.083552,48.814509
CH FRANCOIS QUESNAY MANTES,780000287,B,2,4,1,3,1.676882,48.998604
CHI DE MEULAN LES MUREAUX,780000295,A,1,4,1,2,1.9100263,49.0032305
CENTRE HOSPITALIER DE PLAISIR,780000303,B,2,4,1,2,1.937765,48.824975
CHI POISSY ST GERMAIN SITE DE POISSY,780000311,B,2,4,1,3,2.022275,48.919167
CH DE RAMBOUILLET,780000329,B,2,4,1,2,1.826,48.652857
CHI POISSY ST GERMAIN SITE ST GERMAIN,780000337,B,2,4,1,2,2.090435,48.896406
CH DE VERSAILLES SITE RICHAUD,780000345,B,2,4,1,2,2.132833,48.807704
HOPITAL DU VESINET CENTRE,780000352,A,1,4,1,2,2.130895,48.882961
USLD GERONTOLOGIQUE DE CHEVREUSE,780000360,A,1,4,1,2,2.034807,48.70769
CH LOCAL DE HOUDAN,780000378,B,2,4,1,2,1.600648,48.79281
CH DE LA MAULDRE SITE SAINT LOUIS,780000386,A,1,4,1,2,1.90279,48.804846
CHS JEAN MARTIN CHARCOT,780000402,B,2,4,1,2,1.9458935999,48.8245305
CHS THEOPHILE ROUSSEL,780000410,B,2,4,1,2,2.132442,48.923612
CHI MEULAN (SITE DE BECHEVILLE),780000428,A,1,4,1,2,1.908468,48.993166
CTRE DE CONVALESCENCE D AUBERGENVILLE,780001467,A,1,4,2,2,1.845434,48.956302
UNITE D AUTODIALYSE ADDY,780001558,A,1,4,3,1,2.1751599,48.80428
HOPITAL PEDIATRIE REEDUCATION BULLION,780001657,B,2,4,1,2,1.99893,48.639686
UNITE D AUTODIALYSE LES TEMPLIERS,780001707,A,1,4,3,1,1.962389,48.768113
HAD KORIAN YVELINES SUD,780004529,A,1,4,2,2,2.0713505235,48.774319649
CLINIQUE SAINT REMY,780008298,A,1,4,2,2,2.073436,48.713889
CENTRE D HEMODIALYSE MANTES LA JOLIE,780017802,B,2,4,2,2,1.695448,49.004556
CLINIQUE SAINT GERMAIN,780018727,A,1,4,2,2,2.0839579999,48.8976617
POLYCLINIQUE DE MAISONS LAFFITTE,780022737,B,2,4,2,2,2.15444,48.9529
CLINIQUE SSR - KORIAN LE GRAND PARC,780022760,A,1,4,2,2,2.0716205999,48.774807
HAD LEOPOLD BELLAN,780023545,,,,3,2,1.6847431,48.9681039
INSTITUT MARCEL RIVIERE,780140018,A,1,4,3,2,1.950077,48.748571
CLINIQUE D YVELINES,780140042,A,1,4,2,2,1.869162,48.662839
CENTRE POST CURE GILBERT RABY,780140075,B,2,4,3,2,1.9283407,49.0078048
CTR DE SOINS ET READAPTATION CESSRIN,780150017,A,1,4,3,2,2.1604351999,48.9506103
MAISON DE SANTE CLAIRE DEMEURE,780150033,A,1,4,3,2,2.136985,48.793403
HOPITAL LA PORTE VERTE,780150066,A,1,4,3,3,2.1409591999,48.8188245
CENTRE CARDIOLOGIQUE D EVECQUEMONT,780300075,B,2,4,2,2,1.9361685999,49.0106019
CLINIQUE MEDICALE DE GOUSSONVILLE,780300083,A,1,4,2,2,1.7652,48.920134
CLINIQUE VAL DE SEINE A LOUVECIENNE,780300109,A,1,4,2,2,2.111181,48.86648
CLINIQUE DE LA REGION MANTAISE,780300125,A,1,4,2,2,1.71668,48.984012
CLINIQUE SAINT LOUIS,780300208,B,2,4,2,2,2.037402,48.930488
CTRE SOINS DE SUITE SARTROUVILLE C3S,780300224,A,1,4,2,2,2.1613618999,48.9429629
HOPITAL PRIVE FRANCISCAINES,780300323,A,1,4,2,2,2.138154,48.79466
HOPITAL PRIVE DE PARLY II,780300406,A,1,4,2,2,2.11996,48.830389
CH PRIVE DE L EUROPE,780300414,B,2,4,2,2,2.105945,48.883865
HOPITAL PRIVE DE L OUEST PARISIEN,780300422,A,1,4,2,2,1.9907023,48.7783026
CH PRIVE DU MONTGARDE,780300455,B,2,4,2,2,1.845434,48.956302
CLINIQUE VILLA DES PAGES,780310025,A,1,4,2,2,2.133923,48.896365
SSR LE CERRSY,780420022,A,1,4,3,2,1.871713,48.650764
MAISON REPOS ET CONVALESCENCE L OASIS,780420048,B,2,4,2,2,2.069079,48.707596
CENTRE PEDIATRIQUE DES COTES,780630026,B,2,4,3,2,2.1431735,48.7592337
INSTITUT DE READAPTATION D'ACHERES,780700027,A,1,4,2,2,2.0795196669,48.97173065
CENTRE DE REEDUCATION APARC ROSNY,780700050,B,2,4,2,2,1.631663,49.00082
CH DE VERSAILLES SITE ANDRE MIGNOT,780800256,B,2,4,1,3,2.1274085,48.8175818
SERVICE DE DIALYSE A DOMICILE,780808234,A,1,4,3,1,2.105945,48.883865
CENTRE AUTODIALYSE LES ARCADES,780822631,A,1,4,3,1,2.042537,48.768477
USLD CHATELAIN GUILLET,780822748,A,1,4,1,2,1.9091919999,49.0032371
UNITE D AUTODIALYSE BEAUREGARD,780823134,A,1,4,3,1,2.127029,48.835162
FONDATION MALLET SITE RICHEBOURG,780825816,A,1,4,3,2,1.633345,48.826098
UNITE D AUTODIALYSE IMPRESSIONNISTES,780826152,A,1,4,3,1,2.154432,48.898369
CENTRE HOSPITALIER DE NIORT,790000087,B,2,4,1,3,-0.3962844,46.5926541
SITE HOSPITALIER DE PARTHENAY,790000103,B,2,4,1,2,-0.226376,46.653026
CH HAUT VAL SEVRE & MELLOIS - ST MAIX.,790000111,B,2,4,1,2,-0.216801,46.410095
CH HAUT VAL SEVRE & MELLOIS - MELLE,790000137,B,2,4,1,2,-0.153314,46.224471
CTRE HOSPITALIER DE MAULEON,790000145,B,2,4,1,2,-0.746882,46.923404
MRC PARSAY - BREUIL/CHIZE,790000186,A,1,4,2,2,-0.319476,46.124284
SSR PEDIATRIQUE LES TERRASSES NIORT,790000269,B,2,4,3,2,-0.461643,46.333985
MELIORIS LE GRAND FEU,790000681,B,2,4,3,2,-0.481733,46.34273
SITE HOSPITALIER DE THOUARS,790003537,B,2,4,1,2,-0.183889,46.973412
AURA POITOU-CH - NIORT,790007306,B,2,4,3,2,-0.458518,46.315555
MELIORIS LE LOGIS DES FRANCS,790008064,B,2,4,3,2,-0.377151899,46.4206241
POLYCLINIQUE D'INKERMANN,790009948,B,2,4,2,2,-0.452076,46.315664
CEAA - CTRE EXPERTISE AUTISME ADULTES,790012355,B,2,4,1,2,-0.457785199,46.3166645
AURA POITOU-CHARENTES - PARTHENAY,790016794,B,2,4,3,1,-0.493791,46.845284
HAD NORD 79,790017289,B,2,4,3,2,-0.241823899,46.6508632
SITE HOSPITALIER FAYE L'ABBESSE,790019848,B,2,4,1,2,-0.226376,46.653026
CH ABBEVILLE,800000143,C,3,4,1,3,1.830943,50.102017
SSR PCP ALBERT,800000150,B,2,4,2,2,2.656319,50.004073
CH ALBERT,800000184,B,2,4,1,2,2.653944,50.001344
CHU/ CHU AMIENS NORD,800000192,B,2,4,1,2,2.289994,49.90743
CH CORBIE,800000200,A,1,4,1,2,2.515595,49.914477
CH DOULLENS,800000226,B,2,4,1,2,2.346602,50.155128
CH HAM,800000275,B,2,4,1,2,3.086108,49.742577
CH CHIMR MONTDIDIER,800000390,B,2,4,1,2,2.574061,49.647854
CH PÉRONNE,800000432,B,2,4,1,2,2.930934,49.934808
CH CHIMR ROYE,800000440,B,2,4,1,2,2.79018,49.700114
ET PUBLIC DE SANTÉ MENTALE DE LA SOMME,800000457,B,2,4,1,2,2.2780156,49.8732672
CH CHIBS SAINT-VALERY-SUR-SOMME,800000507,B,2,4,1,2,1.63748,50.186625
HAD ASS BOVES,800000523,A,1,4,3,2,2.3646069,49.8664107
CHU/ CHU AMIENS SAINT VICTOR,800000614,B,2,4,1,2,2.316952,49.904491
SA CLINIQUE SAINTE ISABELLE,800002503,B,2,4,2,2,1.862028,50.098956
CENTRE HENRY EY CH PERONNE,800004111,B,2,4,1,2,2.92298,49.936713
SSR CH PERONNE,800004152,B,2,4,1,2,2.932716,49.946786
CHU/ CHU AMIENS SUD,800006124,B,2,4,1,3,2.297765,49.891923
SSR CH ABBEVILLE,800006231,C,3,4,1,2,1.851939,50.107756
SSR AQUENNES VILLERS-BRETONNEUX,800008989,A,1,4,2,2,2.505888,49.867903
USLD CHIMR ROYE,800009417,B,2,4,1,2,2.79018,49.700114
POLYCLINIQUE DE PICARDIE,800009466,B,2,4,2,2,2.29728,49.871697
CLINIQUE VICTOR PAUCHET DE BUTLER,800009920,A,1,4,2,2,2.295401,49.871413
UNITE DE DIALYSE DE CORBIE,800010159,A,1,4,3,2,2.513505,49.90981
UNITE DE DIALYSE D'AMIENS,800010324,A,1,4,3,2,2.282531,49.873909
SSR PAUCHET CORBIE,800012528,A,1,4,2,2,2.516074,49.915716
CLINIQUE DE L'EUROPE,800013179,B,2,4,2,2,2.2957640035,49.870864951
HAD CH PÉRONNE,800015448,B,2,4,1,2,2.9288327693,49.934528149
HAD CH ALBERT,800015489,B,2,4,1,2,2.653141,50.000467699
HAD CH ABBEVILLE,800015539,C,3,4,1,2,1.830943,50.102017
HAD CH HAM,800015588,B,2,4,1,2,3.086108,49.742577
SAS DE CARDIOLOGIES ET URGENCES,800015729,B,2,4,2,2,2.295154,49.870243
SSR PAUCHET AMIENS,800016727,A,1,4,2,2,2.302325,49.885055
CHU/ SSR CHU AMIENS,800016735,A,1,4,1,2,2.302308,49.8850564
HAD PAUCHET MONTDIDIER,800016768,A,1,4,2,2,2.574061,49.647854
HAD CHIMR MONTDIDIER,800016776,B,2,4,1,2,2.574061,49.647854
CLINIQUE DU CAMPUS PSYCHIATRIQUE,800018228,A,1,4,2,2,2.2763254,49.8619737
CL DU REFUGE PROTESTANT,810000158,A,1,4,3,2,2.377379,43.489576
CL CLAUDE BERNARD,810000224,B,2,4,2,3,2.164552,43.930823
CENTRE CMRF ALBI,810000232,B,2,4,3,2,2.13531,43.926833
POLYCLINIQUE FILIERIS STE BARBE CARMAU,810000448,A,1,4,3,2,2.152078,44.055402
CH ALBI,810000505,B,2,4,1,3,2.142814,43.926107
CH DE GAILLAC,810000513,A,1,4,1,2,1.890432,43.902373
CHIC CASTRES MAZAMET SITE AUTAN,810000521,B,2,4,1,3,2.271832,43.560447
CH GRAULHET,810000539,B,2,4,1,2,1.98604,43.76214
CHIC CASTRES MAZAMET SITE MAZAMET,810000547,B,2,4,1,2,2.36972,43.494146
CH LAVAUR,810000562,B,2,4,1,3,1.819468,43.700629
CTRE HOSP SPECIALISE PIERRE JAMET ALBI,810002022,A,1,4,3,,2.147351,43.919914
CL CLAUDE BERNARD UDM CASTRES,810003368,B,2,4,2,1,2.164552,43.930823
